project_name,bug_number,granularity,technique,crashing,predicate,mutable_bug,percentage_of_mutants_on_ground_truth,experiment_time_seconds,e_inspect,is_bug_localized,exam_score,cumulative_distance,sv_comp_overall_score
youtube-dl,17,Module,PS,1,0,1,3.8461538461538463,21.799129247665405,381.5,0,0.5006561679790026,,
youtube-dl,18,Module,PS,0,0,1,0.21052631578947367,507.5519185066223,381.0,0,0.5006570302233903,,
youtube-dl,20,Module,PS,0,0,1,3.571428571428571,11.767359972000122,379.5,0,0.5006596306068601,,
youtube-dl,21,Module,PS,0,1,1,88.88888888888889,25.272900819778442,369.0,0,0.5006784260515604,,
youtube-dl,24,Module,PS,0,1,1,0.1520912547528517,16454.483955860138,2.0,1,0.0028530670470756064,,
youtube-dl,25,Module,PS,0,0,1,3.4482758620689653,264.5544602870941,1.0,1,0.0014771048744460858,,
youtube-dl,31,Module,PS,0,1,1,58.139534883720934,163.38179850578308,142.0,0,0.3341176470588235,,
youtube-dl,34,Module,PS,0,1,0,0.0,8.894504070281982,195.0,0,0.5012853470437018,,
youtube-dl,41,Module,PS,0,0,0,0.0,14.524153470993042,116.0,0,0.5021645021645021,,
youtube-dl,43,Module,PS,0,0,0,0.0,24.447188138961792,93.5,0,0.5026881720430108,,
black,1,Module,ST,0,0,0,0.0,0.6854918003082275,12.5,0,0.5208333333333334,,
black,3,Module,ST,0,0,0,0.0,0.6290433406829834,12.5,0,0.5208333333333334,,
black,4,Module,ST,0,0,0,0.0,0.5745937824249268,12.0,0,0.5217391304347826,,
black,6,Module,ST,0,1,1,0.11206574523720583,1.1557211875915527,6.0,0,0.2608695652173913,,
black,7,Module,ST,0,1,1,0.11876484560570072,0.6276981830596924,12.0,0,0.5217391304347826,,
black,8,Module,ST,0,1,1,0.7784431137724551,0.5991418361663818,12.0,0,0.5217391304347826,,
black,10,Module,ST,0,1,1,1.0344827586206897,0.942033052444458,12.0,0,0.5217391304347826,,
black,11,Module,ST,0,1,1,0.12526096033402923,0.5091359615325928,12.0,0,0.5217391304347826,,
black,14,Module,ST,1,1,1,5.742574257425743,2.250056743621826,1.0,1,0.045454545454545456,,
black,15,Module,ST,0,1,1,5.055368319691863,0.30411195755004883,11.5,0,0.5227272727272727,,
black,18,Module,ST,0,0,1,0.15467904098994587,0.32663536071777344,8.0,0,0.5333333333333333,,
black,19,Module,ST,0,0,1,0.20352781546811397,0.317777156829834,8.0,0,0.5333333333333333,,
black,23,Module,ST,0,1,1,0.06711409395973154,0.29166126251220703,5.0,0,0.35714285714285715,,
cookiecutter,1,Module,ST,1,0,0,0.0,2.7894608974456787,1.0,1,0.05555555555555555,,
cookiecutter,2,Module,ST,0,1,1,5.555555555555555,0.7817788124084473,9.5,0,0.5277777777777778,,
cookiecutter,3,Module,ST,0,0,0,0.0,0.8879377841949463,9.5,0,0.5277777777777778,,
cookiecutter,4,Module,ST,0,1,0,0.0,0.3407151699066162,3.25,0,0.2708333333333333,,
fastapi,1,Module,ST,0,1,1,16.129032258064516,0.4048163890838623,8.2,0,0.205,,
fastapi,2,Module,ST,0,0,0,0.0,0.47297072410583496,20.5,0,0.5125,,
fastapi,3,Module,ST,1,1,1,5.172413793103448,4.4210333824157715,1.0,1,0.025,,
fastapi,4,Module,ST,0,0,0,0.0,0.42542433738708496,14.0,0,0.5185185185185185,,
fastapi,5,Module,ST,0,0,0,0.0,0.43041467666625977,14.0,0,0.5185185185185185,,
fastapi,6,Module,ST,0,1,1,1.8518518518518516,0.4800584316253662,14.0,0,0.5185185185185185,,
fastapi,7,Module,ST,1,0,0,0.0,1.9613683223724365,1.0,1,0.038461538461538464,,
fastapi,9,Module,ST,0,1,0,0.0,0.43376779556274414,13.0,0,0.52,,
fastapi,10,Module,ST,0,0,0,0.0,0.5058250427246094,13.0,0,0.52,,
fastapi,11,Module,ST,1,0,0,0.0,1.3891072273254395,14.5,0,0.58,,
fastapi,12,Module,ST,0,0,0,0.0,0.475421667098999,13.0,0,0.52,,
fastapi,14,Module,ST,0,0,0,0.0,0.4679243564605713,12.0,0,0.5217391304347826,,
fastapi,16,Module,ST,1,1,1,66.66666666666666,0.38358402252197266,1.0,1,0.047619047619047616,,
httpie,2,Module,ST,0,1,1,1.6194331983805668,0.9915053844451904,8.666666666666668,0,0.34666666666666673,,
httpie,3,Module,ST,1,0,1,0.47393364928909953,2.016903877258301,1.0,1,0.04,,
httpie,4,Module,ST,0,1,1,0.2785515320334262,0.7479918003082275,13.0,0,0.52,,
httpie,5,Module,ST,0,1,1,27.173913043478258,0.6497330665588379,3.5,0,0.5833333333333334,,
keras,1,Module,ST,0,0,1,2.941176470588235,1.4024882316589355,34.75,0,0.25181159420289856,,
keras,3,Module,ST,1,0,0,0.0,1.2890193462371826,1.0,1,0.007462686567164179,,
keras,5,Module,ST,0,0,0,0.0,1.2011098861694336,67.0,0,0.5037593984962406,,
keras,6,Module,ST,0,0,0,0.0,1.4399430751800537,66.0,0,0.5038167938931297,,
keras,7,Module,ST,0,0,0,0.0,1.4985525608062744,64.5,0,0.50390625,,
keras,10,Module,ST,1,1,1,25.0,1.2798466682434082,1.0,1,0.007633587786259542,,
keras,14,Module,ST,1,0,1,45.45454545454545,2.484654664993286,2.0,1,0.015748031496062992,,
keras,17,Module,ST,0,0,1,9.615384615384617,4.541854619979858,64.0,0,0.5039370078740157,,
keras,18,Module,ST,1,0,0,0.0,7.590097188949585,1.0,1,0.007874015748031496,,
keras,20,Module,ST,1,1,0,0.0,5.159481525421143,22.166666666666668,0,0.17454068241469817,,
keras,26,Module,ST,1,0,0,0.0,5.395427942276001,1.0,1,0.008064516129032258,,
keras,31,Module,ST,1,0,0,0.0,3.7847249507904053,1.0,1,0.008620689655172414,,
keras,33,Module,ST,1,1,1,95.45454545454545,2.728904962539673,1.0,1,0.008620689655172414,,
keras,35,Module,ST,1,1,1,0.2145922746781116,2.8947038650512695,1.0,1,0.008620689655172414,,
keras,38,Module,ST,1,0,1,0.11771630370806356,11.044587135314941,1.0,1,0.008849557522123894,,
keras,40,Module,ST,0,0,1,1.342281879194631,4.5120391845703125,56.0,0,0.5045045045045045,,
keras,41,Module,ST,0,1,1,8.333333333333332,4.322101831436157,55.5,0,0.5045454545454545,,
keras,43,Module,ST,0,0,0,0.0,4.216919660568237,55.5,0,0.5045454545454545,,
luigi,3,Module,ST,1,0,1,2.4390243902439024,0.8838205337524414,1.0,1,0.008695652173913044,,
luigi,5,Module,ST,0,0,1,3.6363636363636362,0.4289567470550537,52.0,0,0.5048543689320388,,
luigi,6,Module,ST,1,1,0,0.0,0.9284508228302002,1.0,1,0.00980392156862745,,
luigi,12,Module,ST,0,1,1,22.857142857142858,1.6343746185302734,52.5,0,0.5048076923076923,,
luigi,13,Module,ST,1,0,0,0.0,0.3601353168487549,1.0,1,0.00980392156862745,,
luigi,22,Module,ST,1,0,0,0.0,0.4774630069732666,1.0,1,0.011235955056179775,,
luigi,23,Module,ST,1,0,0,0.0,0.6932291984558105,3.0,1,0.033707865168539325,,
luigi,26,Module,ST,1,1,1,16.666666666666664,0.6248812675476074,1.0,1,0.011627906976744186,,
luigi,28,Module,ST,0,0,1,33.33333333333333,0.40738391876220703,37.5,0,0.5067567567567568,,
luigi,29,Module,ST,1,1,1,19.565217391304348,0.30760860443115234,1.0,1,0.013513513513513514,,
luigi,30,Module,ST,0,1,1,1.3050570962479608,0.3222992420196533,37.5,0,0.5067567567567568,,
luigi,31,Module,ST,0,0,1,0.2890173410404624,0.5273854732513428,37.5,0,0.5067567567567568,,
luigi,32,Module,ST,1,0,0,0.0,0.5408174991607666,1.0,1,0.013513513513513514,,
pandas,2,Module,ST,1,1,1,0.6765899864682002,0.6233603954315186,1.0,1,0.004273504273504274,,
pandas,12,Module,ST,1,0,1,0.1620745542949757,2.4489145278930664,1.0,1,0.004310344827586207,,
pandas,23,Module,ST,1,0,0,0.0,1.3557722568511963,116.5,0,0.5043290043290043,,
pandas,43,Module,ST,0,1,1,0.23134759976865238,0.4119851589202881,114.0,0,0.5022026431718062,,
pandas,54,Module,ST,0,1,0,0.0,0.414872407913208,114.0,0,0.5022026431718062,,
pandas,56,Module,ST,0,0,0,0.0,0.25489234924316406,114.0,0,0.5022026431718062,,
pandas,68,Module,ST,1,0,0,0.0,0.8394172191619873,3.0,1,0.01327433628318584,,
pandas,72,Module,ST,1,1,1,1.6006739679865205,1.8824265003204346,1.0,1,0.004424778761061947,,
pandas,74,Module,ST,0,1,1,0.3546099290780142,0.2429637908935547,113.5,0,0.5022123893805309,,
pandas,77,Module,ST,1,0,0,0.0,0.28651928901672363,1.0,1,0.004424778761061947,,
pandas,81,Module,ST,1,1,1,2.1505376344086025,0.49903249740600586,2.0,1,0.008849557522123894,,
pandas,84,Module,ST,1,0,0,0.0,1.7818858623504639,2.0,1,0.008928571428571428,,
pandas,116,Module,ST,1,0,0,0.0,0.5455679893493652,1.0,1,0.0045662100456621,,
pandas,137,Module,ST,1,1,1,0.1282051282051282,3.345067024230957,1.0,1,0.004545454545454545,,
pandas,141,Module,ST,1,0,1,6.2645011600928076,0.8571794033050537,110.5,0,0.5045662100456622,,
pandas,143,Module,ST,1,1,1,0.49261083743842365,2.5879287719726562,110.5,0,0.5045662100456622,,
pandas,146,Module,ST,1,1,1,19.047619047619047,0.5318596363067627,1.0,1,0.004651162790697674,,
pandas,168,Module,ST,1,1,0,0.0,1.5494191646575928,1.0,1,0.004761904761904762,,
sanic,1,Module,ST,0,0,0,0.0,0.2945084571838379,29.333333333333332,0,0.3371647509578544,,
sanic,3,Module,ST,0,1,1,5.88235294117647,0.21820521354675293,44.0,0,0.5057471264367817,,
sanic,4,Module,ST,0,1,1,0.2004008016032064,0.5681576728820801,43.0,0,0.5058823529411764,,
spacy,1,Module,ST,0,0,0,0,0.2066631317138672,220.5,0,0.5011363636363636,,
spacy,2,Module,ST,0,0,0,0.0,0.7945311069488525,220.0,0,0.5011389521640092,,
spacy,3,Module,ST,0,0,0,0.0,0.24547219276428223,221.5,0,0.501131221719457,,
spacy,4,Module,ST,1,0,1,46.51162790697674,0.20963692665100098,1.0,1,0.002380952380952381,,
spacy,5,Module,ST,1,0,0,0.0,0.41442179679870605,1.0,1,0.0024154589371980675,,
spacy,6,Module,ST,0,1,1,0.8620689655172413,0.26052165031433105,205.5,0,0.501219512195122,,
thefuck,2,Module,ST,0,0,0,0.0,0.4209434986114502,92.5,0,0.5027173913043478,,
thefuck,3,Module,ST,0,0,0,0,0.2850189208984375,91.0,0,0.5027624309392266,,
thefuck,4,Module,ST,1,0,1,37.5,0.8989002704620361,1.0,1,0.005681818181818182,,
thefuck,6,Module,ST,1,0,1,4.545454545454546,0.5498056411743164,1.0,1,0.005747126436781609,,
thefuck,7,Module,ST,0,0,0,0.0,0.3808603286743164,84.5,0,0.5029761904761905,,
thefuck,8,Module,ST,0,0,0,0.0,0.40288686752319336,81.5,0,0.5030864197530864,,
thefuck,13,Module,ST,0,0,0,0.0,0.4605858325958252,58.0,0,0.5043478260869565,,
thefuck,14,Module,ST,0,1,1,100.0,0.4658629894256592,56.0,0,0.5045045045045045,,
thefuck,15,Module,ST,0,0,1,4.3478260869565215,0.29261040687561035,55.5,0,0.5045454545454545,,
thefuck,17,Module,ST,0,0,1,1.7857142857142856,8.080394744873047,35.333333333333336,0,0.33650793650793653,,
thefuck,19,Module,ST,0,0,0,0.0,0.4408998489379883,46.5,0,0.5054347826086957,,
thefuck,20,Module,ST,0,0,1,58.333333333333336,0.66213059425354,46.5,0,0.5054347826086957,,
thefuck,25,Module,ST,0,0,0,0.0,0.44376707077026367,41.0,0,0.5061728395061729,,
thefuck,26,Module,ST,0,0,1,57.89473684210527,0.38178014755249023,41.5,0,0.5060975609756098,,
thefuck,28,Module,ST,0,0,1,16.666666666666664,0.6995997428894043,40.5,0,0.50625,,
thefuck,29,Module,ST,0,0,0,0.0,0.3748607635498047,40.5,0,0.50625,,
tornado,1,Module,ST,0,0,1,0.11689070718877849,0.5934534072875977,20.0,0,0.5128205128205128,,
tornado,5,Module,ST,0,1,1,27.397260273972602,0.6924958229064941,22.5,0,0.5113636363636364,,
tornado,6,Module,ST,0,0,0,0.0,0.7355942726135254,15.0,0,0.3409090909090909,,
tornado,8,Module,ST,0,0,0,0.0,0.7850687503814697,22.5,0,0.5113636363636364,,
tqdm,3,Module,ST,0,0,0,0.0,1.3928818702697754,6.5,0,0.5416666666666666,,
tqdm,4,Module,ST,1,0,0,0.0,1.6094095706939697,1.0,1,0.08333333333333333,,
tqdm,5,Module,ST,1,1,1,1.240694789081886,2.316253185272217,1.0,1,0.09090909090909091,,
tqdm,6,Module,ST,1,0,0,0.0,1.8079266548156738,1.0,1,0.1,,
tqdm,7,Module,ST,1,0,0,0.0,0.6752321720123291,1.0,1,0.1111111111111111,,
tqdm,8,Module,ST,0,0,0,0.0,0.5377602577209473,4.5,0,0.5625,,
tqdm,9,Module,ST,1,1,1,4.761904761904762,0.9712021350860596,1.0,1,0.3333333333333333,,
youtube-dl,1,Module,ST,0,0,1,0.2695417789757413,9.014769315719604,394.0,0,0.5006353240152478,,
youtube-dl,2,Module,ST,0,0,1,1.6842105263157894,2.4230871200561523,390.0,0,0.5006418485237484,,
youtube-dl,6,Module,ST,0,1,1,33.33333333333333,1.6094958782196045,286.0,0,0.500875656742557,,
youtube-dl,7,Module,ST,0,1,1,4.3478260869565215,1.6091067790985107,283.0,0,0.5008849557522124,,
youtube-dl,13,Module,ST,0,1,1,9.090909090909092,4.4583740234375,408.0,0,0.5006134969325153,,
youtube-dl,15,Module,ST,0,0,0,0.0,5.735435724258423,390.5,0,0.5006410256410256,,
youtube-dl,17,Module,ST,1,0,1,3.8461538461538463,2.623234510421753,1.0,1,0.0013123359580052493,,
youtube-dl,18,Module,ST,0,0,1,0.21052631578947367,1.7355661392211914,381.0,0,0.5006570302233903,,
youtube-dl,20,Module,ST,0,0,1,3.571428571428571,4.878852128982544,379.5,0,0.5006596306068601,,
youtube-dl,21,Module,ST,0,1,1,88.88888888888889,7.63627290725708,369.0,0,0.5006784260515604,,
youtube-dl,24,Module,ST,0,1,1,0.1520912547528517,6.176683664321899,351.0,0,0.5007132667617689,,
youtube-dl,25,Module,ST,0,0,1,3.4482758620689653,4.928215503692627,339.0,0,0.5007385524372231,,
youtube-dl,31,Module,ST,0,1,1,58.139534883720934,2.0314178466796875,142.0,0,0.3341176470588235,,
youtube-dl,34,Module,ST,0,1,0,0.0,1.961803674697876,195.0,0,0.5012853470437018,,
youtube-dl,41,Module,ST,0,0,0,0.0,1.329451322555542,116.0,0,0.5021645021645021,,
youtube-dl,43,Module,ST,0,0,0,0.0,1.7020924091339111,93.5,0,0.5026881720430108,,
